state,city,lat,lon
MA,Marstons Mls,41.6703,-70.4163
MA,Mashpee,41.6181,-70.4854
MA,Mattapan,42.2739,-71.0939
MA,Mattapoisett,41.6618,-70.8164
MA,Maynard,42.4321,-71.455
MA,Medfield,42.1845,-71.3048
MA,Medford,42.4179,-71.1075
MA,Medway,42.1514,-71.4217
MA,Melrose,42.4581,-71.0632
MA,Mendon,42.0967,-71.5499
MA,Menemsha,41.3798,-70.6431
MA,Merrimac,42.8346,-71.0047
MA,Methuen,42.728,-71.181
MA,Middleboro,41.8802,-70.9162
MA,Middleborough,41.8774,-70.924
MA,Middlefield,42.3561,-73.0104
MA,Middleton,42.5942,-71.013
MA,Milford,42.1511,-71.5274
MA,Mill River,42.1228,-73.254
MA,Millbury,42.184,-71.7841
MA,Millers Falls,42.582,-72.4926
MA,Millis,42.1669,-71.3607
MA,Millville,42.0331,-71.5798
MA,Milton,42.2537,-71.0771
MA,Milton Village,42.2668,-71.0717
MA,Milton Vlg,42.2668,-71.0717
MA,Minot,42.2404,-70.762
MA,Mission Hill,42.3307,-71.0912
MA,Monponsett,42.0185,-70.8475
MA,Monroe,42.7215,-72.9762
MA,Monroe Bridge,42.7215,-72.9762
MA,Monson,42.101,-72.3196
MA,Montague,42.5429,-72.5328
MA,Monterey,42.1867,-73.2065
MA,Montgomery,42.1952,-72.8114
MA,Monument Bch,41.7196,-70.612
MA,Monument Beach,41.7196,-70.612
MA,Mount Hermon,42.6404,-72.4995
MA,Mount Tom,42.2668,-72.669
MA,Mount Washington,42.1012,-73.4566
MA,Mt Hermon,42.6404,-72.4995
MA,Mt Washington,42.1012,-73.4566
MA,N Attleboro,41.9778,-71.3236
MA,N Billerica,42.5757,-71.2902
MA,N Brookfield,42.2665,-72.0821
MA,N Cambridge,42.3932,-71.1338
MA,N Chelmsford,42.6347,-71.3908
MA,N Dartmouth,41.6338,-70.9958
MA,N Dighton,41.8529,-71.1485
MA,N Egremont,42.1972,-73.4034
MA,N Falmouth,41.6359,-70.6315
MA,N Hatfield,42.4112,-72.6223
MA,N Marshfield,42.1432,-70.7703
MA,N Pembroke,42.0932,-70.7925
MA,N Scituate,42.219,-70.7856
MA,N Uxbridge,42.0876,-71.6412
MA,N Weymouth,42.2459,-70.9467
MA,Nahant,42.4261,-70.9277
MA,Nantucket,41.2714,-70.0339
MA,Natick,42.2875,-71.3574
MA,Needham,42.2871,-71.2415
MA,Needham Heights,42.2945,-71.2328
MA,Needham Hgts,42.2945,-71.2328
MA,New Ashford,42.5173,-73.2282
MA,New Bedford,41.653,-70.9284
MA,New Braintree,42.3198,-72.1306
MA,New Marlboro,42.1959,-73.3607
MA,New Marlborou,42.1959,-73.3607
MA,New Marlborough,42.1959,-73.3607
MA,New Salem,42.5146,-72.3062
MA,New Town,42.4464,-71.4594
MA,Newbury,42.7561,-70.8923
MA,Newburyport,42.7841,-70.8671
MA,Newton,42.3388,-71.2115
MA,Newton Center,42.3341,-71.1833
MA,Newton Centre,42.3341,-71.1833
MA,Newton Highlands,42.3168,-71.2084
MA,Newton Hlds,42.3168,-71.2084
MA,Newton L F,42.3299,-71.2562
MA,Newton Lower Falls,42.3299,-71.2562
MA,Newton U F,42.3129,-71.2195
MA,Newton Upper Falls,42.3129,-71.2195
MA,Newtonville,42.3449,-71.2174
MA,Nonantum,42.3626,-71.2023
MA,Nonquitt,41.5665,-70.9843
